area,area_dec,b1_F_mm_min,b1_mm_s,b1_moves,b3_F_mm_min,b3_mm_s,b3_moves,ratio_b3_over_b1,semantic_from_b1_b3
0x00,0,1200,20.0,34591,600,10.0,34591,0.5,global_print_speed_scaled
0x01,1,5500,91.667,860,2750,45.833,860,0.5,mixed_or_unknown
0x02,2,3500,58.333,10398,1750,29.167,10398,0.5,global_print_speed_scaled
0x03,3,6400,106.667,5571,3200,53.333,5571,0.5,global_print_speed_scaled
0x04,4,3500,58.333,76179,2100,35.0,76158,0.6,support_print_speed_controlled__global_x_support
0x05,5,3500,58.333,31213,2100,35.0,31213,0.6,support_print_speed_controlled__global_x_support
0x06,6,3500,58.333,15975,1750,29.167,15982,0.5,support_related_but_global_print_scaled_in_b3
0x07,7,3500,58.333,6123,1750,29.167,6127,0.5,support_related_but_global_print_scaled_in_b3
0x09,9,3500,58.333,2769,1750,29.167,2770,0.5,support_related_but_global_print_scaled_in_b3
0x0A,10,1000,16.667,294,1000,16.667,294,1.0,mixed_or_unknown
0x0B,11,5000,83.333,263,5000,83.333,263,1.0,mixed_or_unknown
0x0C,12,7200,120.0,189,7200,120.0,189,1.0,mixed_or_unknown
0x0D,13,7200,120.0,856,7200,120.0,856,1.0,mixed_or_unknown
0x0E,14,4000,66.667,4089,2000,33.333,4089,0.5,global_print_speed_scaled
0x0F,15,3000,50.0,2352,1500,25.0,2352,0.5,global_print_speed_scaled
0x10,16,5000,83.333,1789,2500,41.667,1789,0.5,global_print_speed_scaled
0x11,17,4000,66.667,4275,2000,33.333,4275,0.5,global_print_speed_scaled
0x12,18,3000,50.0,4550,1500,25.0,4550,0.5,global_print_speed_scaled
0x13,19,6500,108.333,10046,3250,54.167,10046,0.5,global_print_speed_scaled
0x14,20,1200,20.0,453,600,10.0,453,0.5,global_print_speed_scaled
0x15,21,1200,20.0,597,600,10.0,597,0.5,global_print_speed_scaled
0x18,24,3500,58.333,295,2100,35.0,295,0.6,support_print_speed_controlled__global_x_support
0x1B,27,1800,30.0,37533,900,15.0,37533,0.5,global_print_speed_scaled
0x1D,29,2000,33.333,3055,2000,33.333,3055,1.0,technical_or_travel_not_scaled_by_print_slider
0x1E,30,2000,33.333,2655,2000,33.333,2655,1.0,technical_or_travel_not_scaled_by_print_slider
0x20,32,2000,33.333,593,1000,16.667,593,0.5,global_print_speed_scaled
0x21,33,1800,30.0,2415,900,15.0,2415,0.5,global_print_speed_scaled
0xE9,233,480,8.0,149,480,8.0,149,1.0,technical_or_travel_not_scaled_by_print_slider
0xEA,234,480,8.0,149,480,8.0,149,1.0,technical_or_travel_not_scaled_by_print_slider
0xF3,243,480,8.0,149,480,8.0,149,1.0,technical_or_travel_not_scaled_by_print_slider
0xF4,244,480,8.0,149,480,8.0,149,1.0,technical_or_travel_not_scaled_by_print_slider
0xFB,251,7200,120.0,195,7200,120.0,195,1.0,technical_or_travel_not_scaled_by_print_slider
0xFC,252,7200,120.0,39593,7200,120.0,30619,1.0,technical_or_travel_not_scaled_by_print_slider
0xFD,253,4800,80.0,4116,4800,80.0,4116,1.0,technical_or_travel_not_scaled_by_print_slider
0xFE,254,4800,80.0,4116,4800,80.0,4116,1.0,technical_or_travel_not_scaled_by_print_slider
0xFF,255,3500,58.333,931,2000,33.333,505,0.5714,mixed_or_unknown
