class,material,expected_code,observed_code,status,temps,chamber,retract
native,Z-ABS,0x00,0x00,observed,,,
native,Z-ULTRAT,0x01,0x01,observed,,,
native,Z-GLASS,0x02,0x02,observed,,,
native,Z-HIPS,0x03,,missing full current zcode sample,,,
native,Z-PCABS,0x04,,missing full current zcode sample,,,
native,Z-PETG,0x05,0x05,observed,,,
native,Z-ULTRAT PLUS,0x06,,missing full current zcode sample,,,
native,Z-SUPPORT,0x07,,missing full current zcode sample,,,
native,Z-ESD,0x08,,missing full current zcode sample,,,
native,Z-PHA,0x09,,missing full current zcode sample,,,
native,Z-PLA,0x0A,0x0A,observed,,,
native,Z-PLA PRO,0x0B,0x0B,observed,,,
native,Z-ASA PRO,0x0C,0x0C,observed,,,
native,Z-SUPPORT PLUS,0x0D,,missing full current zcode sample,,,
native,Z-SEMIFLEX,0x0E,,missing full current zcode sample,,,
native,Z-FLEX,0x0F,0x0F,observed,,,
native,Z-NYLON,0x10,0x10,observed,,,
native,Z-SUPPORT PREMIUM,0x11,,missing full current zcode sample,,,
native,Z-PEEK,0x12,,missing full current zcode sample,,,
external,ABS-based filament,0x81,,missing full current zcode sample,,,
external,PETG-based filament,0x83,,missing full current zcode sample,,,
external,GLASS-type filament,0x84,,missing full current zcode sample,,,
external,PLA-based filament,0x86,,missing full current zcode sample,,,
external,FLEX-based filament,0x87,,missing full current zcode sample,,,
external,NYLON-based filament,0x89,,missing full current zcode sample,,,
external,ULTRAT-based filament,0x91,,missing full current zcode sample,,,
external,ESD PETG-based filament,0x92,0x92,observed,270,60,80/2.0
external,PLA Pro-based filament,0x94,0x94,observed,210,40,33/1.0
external,ASA Pro-based filament,0x95,,missing full current zcode sample,,,
external,SEMIFLEX-based filament,0x96,0x96,observed,225,50,41/2.0
